name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Можно я с тобой,0.8,0.753,0,-8.884,1,0.0362,0.353,0.75,0.373,0.63,126.977,audio_features,4CvrZAA0I1rG4tlvwYydi4,spotify:track:4CvrZAA0I1rG4tlvwYydi4,https://api.spotify.com/v1/tracks/4CvrZAA0I1rG4tlvwYydi4,https://api.spotify.com/v1/audio-analysis/4CvrZAA0I1rG4tlvwYydi4,132336,4
Последняя Любовь,0.765,0.675,1,-4.551,0,0.0298,0.00599,9.95e-05,0.0942,0.735,120.034,audio_features,527D034h8WFtVDOBO6GAN5,spotify:track:527D034h8WFtVDOBO6GAN5,https://api.spotify.com/v1/tracks/527D034h8WFtVDOBO6GAN5,https://api.spotify.com/v1/audio-analysis/527D034h8WFtVDOBO6GAN5,162527,4
Я тобі брехала,0.786,0.629,6,-9.2,0,0.0604,0.475,0.00217,0.167,0.485,105.008,audio_features,1G5M0Aox7zAnvFjPqSo3fY,spotify:track:1G5M0Aox7zAnvFjPqSo3fY,https://api.spotify.com/v1/tracks/1G5M0Aox7zAnvFjPqSo3fY,https://api.spotify.com/v1/audio-analysis/1G5M0Aox7zAnvFjPqSo3fY,137714,4
Teresa & Maria,0.694,0.651,7,-6.83,0,0.0342,0.321,0.0,0.111,0.251,114.037,audio_features,7n3Czk07KugPQOWuqCHDmF,spotify:track:7n3Czk07KugPQOWuqCHDmF,https://api.spotify.com/v1/tracks/7n3Czk07KugPQOWuqCHDmF,https://api.spotify.com/v1/audio-analysis/7n3Czk07KugPQOWuqCHDmF,179474,4
End of Beginning,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
Покохай мене,0.855,0.888,0,-5.451,1,0.217,0.0261,0.0,0.249,0.871,124.987,audio_features,1YeQGpxrQvp6Yg3K6SIgho,spotify:track:1YeQGpxrQvp6Yg3K6SIgho,https://api.spotify.com/v1/tracks/1YeQGpxrQvp6Yg3K6SIgho,https://api.spotify.com/v1/audio-analysis/1YeQGpxrQvp6Yg3K6SIgho,176667,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
Крепче,0.769,0.31,9,-14.249,0,0.372,0.872,0.0,0.144,0.71,77.994,audio_features,6bCLkzoE3agC7Ws9NxVxIn,spotify:track:6bCLkzoE3agC7Ws9NxVxIn,https://api.spotify.com/v1/tracks/6bCLkzoE3agC7Ws9NxVxIn,https://api.spotify.com/v1/audio-analysis/6bCLkzoE3agC7Ws9NxVxIn,120112,4
juice,0.861,0.441,6,-6.249,1,0.18,0.108,0.0,0.1,0.693,130.069,audio_features,2PXxdh7WHZAlONZW8P3H2h,spotify:track:2PXxdh7WHZAlONZW8P3H2h,https://api.spotify.com/v1/tracks/2PXxdh7WHZAlONZW8P3H2h,https://api.spotify.com/v1/audio-analysis/2PXxdh7WHZAlONZW8P3H2h,107538,4
CARNIVAL,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
Я щаслива - Лікарі кажуть,0.925,0.472,10,-11.013,0,0.17,0.747,2.26e-05,0.0897,0.705,107.021,audio_features,7LxpaPwRVTYEG2Gf5T5iLO,spotify:track:7LxpaPwRVTYEG2Gf5T5iLO,https://api.spotify.com/v1/tracks/7LxpaPwRVTYEG2Gf5T5iLO,https://api.spotify.com/v1/audio-analysis/7LxpaPwRVTYEG2Gf5T5iLO,121667,4
Montagem Mysterious Game,0.537,0.64,1,-10.441,1,0.104,0.146,0.878,0.157,0.222,130.051,audio_features,7vOmSP2647oNUGGEhWd1cr,spotify:track:7vOmSP2647oNUGGEhWd1cr,https://api.spotify.com/v1/tracks/7vOmSP2647oNUGGEhWd1cr,https://api.spotify.com/v1/audio-analysis/7vOmSP2647oNUGGEhWd1cr,103495,4
Знайди мене,0.759,0.464,7,-12.208,0,0.0577,0.712,0.446,0.215,0.143,109.974,audio_features,2xmQMKTjiOdkdGVgqDzezo,spotify:track:2xmQMKTjiOdkdGVgqDzezo,https://api.spotify.com/v1/tracks/2xmQMKTjiOdkdGVgqDzezo,https://api.spotify.com/v1/audio-analysis/2xmQMKTjiOdkdGVgqDzezo,150724,4
greedy,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
