name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Chúng Ta Của Tương Lai,0.694,0.556,0,-7.097,1,0.0805,0.787,0.00688,0.115,0.485,145.954,audio_features,3qhYidu0cemx1v9PgTtpS5,spotify:track:3qhYidu0cemx1v9PgTtpS5,https://api.spotify.com/v1/tracks/3qhYidu0cemx1v9PgTtpS5,https://api.spotify.com/v1/audio-analysis/3qhYidu0cemx1v9PgTtpS5,249872,4
FRI(END)S,0.466,0.601,8,-4.468,1,0.053,0.0315,0.0,0.0927,0.627,53.376,audio_features,0PBTlQ84CBJF0tBnKGmQa6,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/tracks/0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/audio-analysis/0PBTlQ84CBJF0tBnKGmQa6,148082,4
Từng Là,0.808,0.414,5,-10.95,1,0.038,0.864,0.000118,0.174,0.609,115.041,audio_features,2xOhv7XudrBDtkID1jwsFE,spotify:track:2xOhv7XudrBDtkID1jwsFE,https://api.spotify.com/v1/tracks/2xOhv7XudrBDtkID1jwsFE,https://api.spotify.com/v1/audio-analysis/2xOhv7XudrBDtkID1jwsFE,252500,4
Standing Next to You,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,audio_features,2KslE17cAJNHTsI2MI0jb2,spotify:track:2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/tracks/2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/audio-analysis/2KslE17cAJNHTsI2MI0jb2,206020,4
Seven (feat. Latto) (Explicit Ver.),0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,audio_features,2HRgqmZQC0MC7GeNuDIXHN,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,https://api.spotify.com/v1/tracks/2HRgqmZQC0MC7GeNuDIXHN,https://api.spotify.com/v1/audio-analysis/2HRgqmZQC0MC7GeNuDIXHN,183551,4
Từng Quen,0.768,0.325,7,-11.863,1,0.15,0.133,7.69e-06,0.174,0.525,76.975,audio_features,4qYfRfSxsmhJ1WMaywtLyI,spotify:track:4qYfRfSxsmhJ1WMaywtLyI,https://api.spotify.com/v1/tracks/4qYfRfSxsmhJ1WMaywtLyI,https://api.spotify.com/v1/audio-analysis/4qYfRfSxsmhJ1WMaywtLyI,174545,4
Những Lời Hứa Bỏ Quên,0.535,0.661,0,-7.797,1,0.0314,0.716,2.23e-05,0.125,0.337,135.054,audio_features,1bG6Q8sR8jda7ryI365y8o,spotify:track:1bG6Q8sR8jda7ryI365y8o,https://api.spotify.com/v1/tracks/1bG6Q8sR8jda7ryI365y8o,https://api.spotify.com/v1/audio-analysis/1bG6Q8sR8jda7ryI365y8o,236263,4
Like Crazy,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,audio_features,3Ua0m0YmEjrMi9XErKcNiR,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/tracks/3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/audio-analysis/3Ua0m0YmEjrMi9XErKcNiR,212241,4
Chịu Cách Mình Nói Thua,0.628,0.698,10,-6.757,0,0.0348,0.146,0.0,0.109,0.341,154.061,audio_features,3ZbZtdEw9U0uZW4tZItIwq,spotify:track:3ZbZtdEw9U0uZW4tZItIwq,https://api.spotify.com/v1/tracks/3ZbZtdEw9U0uZW4tZItIwq,https://api.spotify.com/v1/audio-analysis/3ZbZtdEw9U0uZW4tZItIwq,181558,4
Love Me Again,0.633,0.607,0,-6.182,0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,audio_features,2N0SPREDYqILVEFSsWF5N5,spotify:track:2N0SPREDYqILVEFSsWF5N5,https://api.spotify.com/v1/tracks/2N0SPREDYqILVEFSsWF5N5,https://api.spotify.com/v1/audio-analysis/2N0SPREDYqILVEFSsWF5N5,182293,4
"Sau Lời Từ Khước (Theme Song From ""MAI"")",0.421,0.425,6,-8.667,1,0.0537,0.779,0.0,0.0915,0.465,203.774,audio_features,36OyVzUmUFb1MTTzy3YXbh,spotify:track:36OyVzUmUFb1MTTzy3YXbh,https://api.spotify.com/v1/tracks/36OyVzUmUFb1MTTzy3YXbh,https://api.spotify.com/v1/audio-analysis/36OyVzUmUFb1MTTzy3YXbh,250123,4
Dành Hết Xuân Thì Để Chờ Nhau,0.487,0.371,2,-9.73,1,0.0306,0.595,4.11e-06,0.126,0.17,135.865,audio_features,2ddbldKhKrYvOBbYa87cbj,spotify:track:2ddbldKhKrYvOBbYa87cbj,https://api.spotify.com/v1/tracks/2ddbldKhKrYvOBbYa87cbj,https://api.spotify.com/v1/audio-analysis/2ddbldKhKrYvOBbYa87cbj,288380,4
"Buồn Hay Vui (feat. RPT MCK, Obito, Ronboogz & Boyzed)",0.548,0.611,5,-8.065,0,0.0837,0.266,0.0,0.174,0.401,79.837,audio_features,1khMN4Adfi3LrZvxOq4YM5,spotify:track:1khMN4Adfi3LrZvxOq4YM5,https://api.spotify.com/v1/tracks/1khMN4Adfi3LrZvxOq4YM5,https://api.spotify.com/v1/audio-analysis/1khMN4Adfi3LrZvxOq4YM5,291750,4
Rồi Em Sẽ Gặp Một Chàng Trai Khác (feat. HippoHappy),0.636,0.402,10,-7.858,1,0.0386,0.813,0.0,0.115,0.293,127.95,audio_features,3K7RddI2L8Wiv7uIbrhfLc,spotify:track:3K7RddI2L8Wiv7uIbrhfLc,https://api.spotify.com/v1/tracks/3K7RddI2L8Wiv7uIbrhfLc,https://api.spotify.com/v1/audio-analysis/3K7RddI2L8Wiv7uIbrhfLc,303968,4
Trái đất ôm Mặt trời,0.686,0.656,5,-6.375,0,0.0562,0.612,5.45e-06,0.394,0.65,138.059,audio_features,4NTanSVXBkQ2NmDEbr2vLE,spotify:track:4NTanSVXBkQ2NmDEbr2vLE,https://api.spotify.com/v1/tracks/4NTanSVXBkQ2NmDEbr2vLE,https://api.spotify.com/v1/audio-analysis/4NTanSVXBkQ2NmDEbr2vLE,194704,4
Nâng Chén Tiêu Sầu,0.855,0.546,11,-7.492,0,0.0324,0.751,0.0111,0.104,0.463,107.983,audio_features,4PCh6DAkUYKnEmvjV4ouOs,spotify:track:4PCh6DAkUYKnEmvjV4ouOs,https://api.spotify.com/v1/tracks/4PCh6DAkUYKnEmvjV4ouOs,https://api.spotify.com/v1/audio-analysis/4PCh6DAkUYKnEmvjV4ouOs,185278,4
nếu lúc đó,0.632,0.577,4,-8.482,1,0.0319,0.333,0.000163,0.16,0.359,140.035,audio_features,4exlWP8cokkWVCvyP3kg7c,spotify:track:4exlWP8cokkWVCvyP3kg7c,https://api.spotify.com/v1/tracks/4exlWP8cokkWVCvyP3kg7c,https://api.spotify.com/v1/audio-analysis/4exlWP8cokkWVCvyP3kg7c,263752,4
