name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Guli Guli - From ""Buzz House"" The Movie",0.75,0.937,9,-1.346,1,0.0457,0.0953,0.0,0.278,0.875,126.068,audio_features,3NlplVGSFT0fwcEhk6FJ3Z,spotify:track:3NlplVGSFT0fwcEhk6FJ3Z,https://api.spotify.com/v1/tracks/3NlplVGSFT0fwcEhk6FJ3Z,https://api.spotify.com/v1/audio-analysis/3NlplVGSFT0fwcEhk6FJ3Z,148095,4
Burj Khalifa,0.897,0.881,3,-4.637,0,0.066,0.148,4.8e-06,0.166,0.941,139.017,audio_features,1XnSv4BUz58CBzioQap0V1,spotify:track:1XnSv4BUz58CBzioQap0V1,https://api.spotify.com/v1/tracks/1XnSv4BUz58CBzioQap0V1,https://api.spotify.com/v1/audio-analysis/1XnSv4BUz58CBzioQap0V1,151099,4
CARNIVAL,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
Sistem Otoman,0.797,0.672,1,-4.434,1,0.121,0.0226,0.00373,0.119,0.496,178.118,audio_features,0FXdKliEXDHnIDnCqJu3Xa,spotify:track:0FXdKliEXDHnIDnCqJu3Xa,https://api.spotify.com/v1/tracks/0FXdKliEXDHnIDnCqJu3Xa,https://api.spotify.com/v1/audio-analysis/0FXdKliEXDHnIDnCqJu3Xa,163200,4
ZODIAC,0.668,0.847,0,-4.866,1,0.263,0.577,0.0,0.0654,0.399,89.565,audio_features,2uJnvTPC2FPmEGt9rgr003,spotify:track:2uJnvTPC2FPmEGt9rgr003,https://api.spotify.com/v1/tracks/2uJnvTPC2FPmEGt9rgr003,https://api.spotify.com/v1/audio-analysis/2uJnvTPC2FPmEGt9rgr003,196667,4
X6,0.809,0.791,8,-6.826,1,0.28,0.118,0.0,0.176,0.562,97.04,audio_features,2K27dgyO1yDFw2gZNQSkFF,spotify:track:2K27dgyO1yDFw2gZNQSkFF,https://api.spotify.com/v1/tracks/2K27dgyO1yDFw2gZNQSkFF,https://api.spotify.com/v1/audio-analysis/2K27dgyO1yDFw2gZNQSkFF,149000,4
Romeo si Julieta,0.721,0.927,10,-3.184,0,0.0599,0.106,0.0192,0.0351,0.97,161.993,audio_features,7MMsotK7YIHmWfgmKdcivz,spotify:track:7MMsotK7YIHmWfgmKdcivz,https://api.spotify.com/v1/tracks/7MMsotK7YIHmWfgmKdcivz,https://api.spotify.com/v1/audio-analysis/7MMsotK7YIHmWfgmKdcivz,204445,4
ONE CALL,0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,audio_features,69phA1R4gmQsBFRQ3INW8C,spotify:track:69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/tracks/69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/audio-analysis/69phA1R4gmQsBFRQ3INW8C,121399,4
FE!N (feat. Playboi Carti),0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701,4
Ciocolata,0.772,0.787,0,-4.405,0,0.097,0.116,0.00123,0.271,0.736,173.993,audio_features,1CbI1EWcf3KFg4QJsKa3aT,spotify:track:1CbI1EWcf3KFg4QJsKa3aT,https://api.spotify.com/v1/tracks/1CbI1EWcf3KFg4QJsKa3aT,https://api.spotify.com/v1/audio-analysis/1CbI1EWcf3KFg4QJsKa3aT,169698,4
Macarena,0.849,0.471,4,-9.943,0,0.0845,0.059,0.00112,0.129,0.237,94.989,audio_features,0DCxlfakEyG4HTzTRGhVVB,spotify:track:0DCxlfakEyG4HTzTRGhVVB,https://api.spotify.com/v1/tracks/0DCxlfakEyG4HTzTRGhVVB,https://api.spotify.com/v1/audio-analysis/0DCxlfakEyG4HTzTRGhVVB,146526,4
HOT - From Miami Bici 2 The Movie,0.925,0.716,11,-4.269,0,0.0969,0.137,3.29e-06,0.0838,0.492,95.051,audio_features,03Lzl2Twhog0E0JKj4f1zE,spotify:track:03Lzl2Twhog0E0JKj4f1zE,https://api.spotify.com/v1/tracks/03Lzl2Twhog0E0JKj4f1zE,https://api.spotify.com/v1/audio-analysis/03Lzl2Twhog0E0JKj4f1zE,170526,4
Femei în Parlament,0.839,0.742,9,-7.306,1,0.0811,0.0084,0.000273,0.138,0.433,99.965,audio_features,2xwMZvVmWGYV4rreWqE2z6,spotify:track:2xwMZvVmWGYV4rreWqE2z6,https://api.spotify.com/v1/tracks/2xwMZvVmWGYV4rreWqE2z6,https://api.spotify.com/v1/audio-analysis/2xwMZvVmWGYV4rreWqE2z6,168600,4
Pe un pat,0.671,0.803,7,-3.713,0,0.133,0.0756,0.0,0.122,0.403,179.902,audio_features,5kR18jBm2HQaavnVSVg3a8,spotify:track:5kR18jBm2HQaavnVSVg3a8,https://api.spotify.com/v1/tracks/5kR18jBm2HQaavnVSVg3a8,https://api.spotify.com/v1/audio-analysis/5kR18jBm2HQaavnVSVg3a8,157333,4
Fancy,0.943,0.743,1,-6.097,0,0.161,0.107,0.0,0.0969,0.819,99.986,audio_features,0JGjpulWnCKYNryeaX3GWM,spotify:track:0JGjpulWnCKYNryeaX3GWM,https://api.spotify.com/v1/tracks/0JGjpulWnCKYNryeaX3GWM,https://api.spotify.com/v1/audio-analysis/0JGjpulWnCKYNryeaX3GWM,118250,4
Breathe,0.771,0.541,11,-13.0,1,0.0612,0.0275,0.881,0.105,0.106,118.064,audio_features,5NAOhPAZ57eFAXr3qatS6i,spotify:track:5NAOhPAZ57eFAXr3qatS6i,https://api.spotify.com/v1/tracks/5NAOhPAZ57eFAXr3qatS6i,https://api.spotify.com/v1/audio-analysis/5NAOhPAZ57eFAXr3qatS6i,170847,4
End of Beginning,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
Iubire in Rate,0.795,0.686,7,-5.61,0,0.0573,0.244,0.0,0.16,0.476,113.414,audio_features,2C2G5bh0reFJh7FgBz9dIP,spotify:track:2C2G5bh0reFJh7FgBz9dIP,https://api.spotify.com/v1/tracks/2C2G5bh0reFJh7FgBz9dIP,https://api.spotify.com/v1/audio-analysis/2C2G5bh0reFJh7FgBz9dIP,149647,5
